fid,gndvi_1,gndvi_2,gndvi_3,gndvi_4,gndvi_5,gndvi_6,gndvi_7
153,0.215808649,0.323334477,0.292524997,0.213955048,0.219102095,0.217798821,0.197091591
154,0.25897978,0.211605759,0.25320681,0.376935621,0.335249017,0.302606683,0.245931103
155,0.301717391,0.162154908,0.171077565,0.419849352,0.368678702,0.322253722,0.247517103
156,0.242614518,0.141542539,0.135861102,0.324979028,0.297683649,0.259104391,0.209766107
157,0.240576842,0.139040937,0.157491295,0.400392558,0.338275845,0.299258973,0.237182443
158,0.238305748,0.164215732,0.173027215,0.315639702,0.268494944,0.247731803,0.212819476
159,0.145363224,0.1043258,0.127665508,0.147074837,0.148872633,0.157307076,0.120768529
160,0.258527755,0.187697479,0.208507983,0.321666834,0.304768409,0.287965159,0.237979863
161,0.247350296,0.156954221,0.157150815,0.374688645,0.337654311,0.296612304,0.219887598
162,0.215886047,0.150233105,0.156047947,0.332129676,0.275556175,0.239983473,0.178022178
163,0.224147075,0.270521394,0.151097551,0.354926621,0.30736455,0.257680798,0.201780916
164,0.252816937,0.136244677,0.146921159,0.390861449,0.34793989,0.306544816,0.230712137
165,0.250498754,0.139561776,0.145933819,0.426647172,0.341811316,0.291010048,0.214778679
166,0.271987159,0.157037649,0.168873648,0.406834309,0.359023376,0.32041368,0.25773296
167,0.242301663,0.154393781,0.149113196,0.389358088,0.310570631,0.273293256,0.214813527
168,0.253047356,0.169419235,0.155798395,0.415963362,0.357166372,0.320964007,0.211735594
169,0.257843327,0.176762292,0.231747946,0.387457764,0.355662361,0.304147071,0.221022672
170,0.27190704,0.17240816,0.150581849,0.367527381,0.325523635,0.299075638,0.251922195
171,0.307928369,0.166689072,0.150237364,0.435550584,0.382862831,0.342070797,0.263591459
172,0.280877001,0.189826133,0.201406102,0.418743851,0.341069464,0.307312859,0.232879833
173,0.266516636,0.177703476,0.206205595,0.413062152,0.366456552,0.335778282,0.267013795
174,0.289623909,0.168488406,0.209210734,0.409539625,0.368830744,0.31327786,0.242949107
175,0.254065917,0.181527885,0.233376687,0.414178933,0.366052359,0.341919296,0.267393489
176,0.326207864,0.180359133,0.198537913,0.42250977,0.374185466,0.340755471,0.26654258
177,0.245771359,0.185014599,0.171673784,0.35366137,0.296272449,0.259259322,0.216883476
178,0.224784833,0.1492015,0.164462362,0.386959258,0.324067985,0.290538135,0.214137765
179,0.284673956,0.182939286,0.212227637,0.399863149,0.346978116,0.312273045,0.2531024
180,0.25818298,0.184139451,0.141478521,0.32551095,0.297961902,0.288454513,0.228766126
181,0.232711787,0.192618082,0.184039497,0.427155733,0.30609132,0.271931344,0.197900998
182,0.255285269,0.148394786,0.168279721,0.416437667,0.312968164,0.232486064,0.157236165
183,0.280582454,0.1636218,0.141304636,0.426732479,0.367747378,0.328820298,0.248361555
184,0.202795167,0.175561038,0.220860098,0.231863647,0.182443911,0.219022262,0.166010158
185,0.235701339,0.150752471,0.153303324,0.356224603,0.294662358,0.263597738,0.223723974
186,0.251708951,0.189056664,0.207789892,0.347035147,0.332241051,0.279722062,0.211059897
187,0.228928444,0.179708698,0.177432552,0.406456879,0.321463965,0.280724246,0.18971235
188,0.255240315,0.170490733,0.18239721,0.38012558,0.328595483,0.28036535,0.220560782
189,0.286688561,0.143463111,0.170296066,0.392100289,0.350697581,0.326435415,0.251282128
190,0.263818334,0.170430181,0.192083634,0.35799951,0.341775639,0.283635516,0.218480631
191,0.252698146,0.148324757,0.18721032,0.419088136,0.358835054,0.323193813,0.223754548
192,0.252084254,0.167048173,0.195314192,0.395568441,0.33485424,0.293291562,0.209280118
193,0.174958395,0.188710173,0.148765692,0.219867286,0.217721898,0.210846657,0.179272085
194,0.220712938,0.145414273,0.162949975,0.268287535,0.256914116,0.233614733,0.179273784
195,0.203269805,0.172797537,0.171985588,0.285611025,0.260350834,0.22771105,0.18281846
196,0.264446259,0.239517114,0.206612332,0.370044809,0.326451428,0.285854238,0.220494584
197,0.211052395,0.20579733,0.191116925,0.297199986,0.255529871,0.233387887,0.168850112
198,0.260397613,0.163791436,0.185725646,0.394348635,0.349170191,0.305731199,0.229241581
199,0.224328868,0.152050793,0.17785457,0.375807968,0.287888416,0.232266819,0.1713768
200,0.261432355,0.204691676,0.225574192,0.383500666,0.347989945,0.297767655,0.218492169
201,0.219290878,0.160504041,0.169059522,0.35121288,0.301493306,0.263497324,0.199276071
202,0.218293423,0.178571771,0.171487416,0.359021147,0.333690792,0.308792392,0.232125416
203,0.22797644,0.157447375,0.122711862,0.409033457,0.315901206,0.276159491,0.194793638
