fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
181,0.161920006,0.080370834,0.057901972,0.388589877,0.23628912,0.198418258,0.144372908
182,0.185077433,0.002379555,0.024924015,0.367584828,0.254080469,0.162350916,0.105969684
183,0.215880406,0.021637845,-0.034638958,0.377023539,0.308860279,0.266094577,0.207090705
184,0.004598585,-0.035651856,0.061372492,0.069542124,-0.002281238,0.033159009,0.003968861
185,0.143965566,-0.046059402,-0.042604439,0.25118002,0.197631549,0.159835439,0.142887342
186,0.150544733,0.025153439,0.050350675,0.254829217,0.230427375,0.167076005,0.141444717
187,0.150663003,0.049959186,0.028961546,0.349438585,0.242437644,0.198162354,0.129571974
188,0.168186669,0.013694436,0.009264133,0.303576099,0.246918195,0.198578907,0.175400551
189,0.232855252,-0.022941154,-0.006446878,0.322178043,0.278415033,0.262879117,0.217953814
190,0.176523061,0.006487527,0.034975588,0.273705928,0.252901322,0.177072217,0.145537431
191,0.177532777,-0.012268498,0.027564054,0.367561916,0.291754913,0.259239763,0.188098955
192,0.185359517,0.002714639,0.028944579,0.339558343,0.26427796,0.194605356,0.168892176
193,-0.032548505,0.020407298,-0.066684199,-0.001347672,0.015796472,0.028277591,0.006756294
194,0.061370279,-0.024607713,-0.033582118,0.090116564,0.137316286,0.117291585,0.088919886
195,0.105740246,-0.002493823,-0.029670342,0.194937439,0.126530074,0.100392657,0.090578201
196,0.207353448,0.1718462,0.105101519,0.310141705,0.269458701,0.232885214,0.19449817
197,0.067963139,0.066375371,0.01934813,0.153737308,0.136493963,0.096507549,0.063512646
198,0.189340779,-0.008557898,0.008293206,0.317032035,0.279175519,0.231999825,0.179432332
199,0.119082566,-0.009432281,0.004137815,0.297301532,0.185830823,0.122198741,0.097645915
200,0.176525496,0.079844557,0.066839021,0.292214489,0.25693417,0.207620032,0.161241367
201,0.106375536,-0.012196548,-0.011532864,0.243158609,0.211881295,0.168361947,0.124885137
202,0.12086783,-0.010688,-0.04180442,0.256131612,0.246585824,0.225865083,0.187095183
203,0.154243703,0.005241068,0.007876152,0.351804753,0.246900481,0.21143828,0.152509698
204,0.092244511,0.038953429,0.0000966,0.187085675,0.164757947,0.128635461,0.152994309
205,0.179805571,-0.009585419,-0.033980017,0.256468379,0.208563633,0.200915019,0.169668698
206,0.155715751,0.093141886,0.09537267,0.250240171,0.224803147,0.169699068,0.139930797
