fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
128,0.332327414,0.233905161,0.250565368,0.443394045,0.388758593,0.395750283,0.361453896
129,0.397447456,0.257054774,0.213932182,0.576679674,0.479875632,0.462443076,0.397633309
130,0.345806861,0.31340423,0.339969245,0.549196194,0.422202266,0.371969591,0.326207877
131,0.380209561,0.177782021,0.183607818,0.618392937,0.529331291,0.468124936,0.385947625
132,0.389236159,0.266902776,0.217966496,0.599053196,0.496208663,0.423194073,0.363835524
133,0.362476134,0.206785328,0.193904014,0.584097383,0.499986277,0.445151185,0.388252321
134,0.392161549,0.201772468,0.199776879,0.679242789,0.583511837,0.514396251,0.43169998
135,0.328025053,0.280636478,0.293846228,0.627793593,0.519504631,0.415853661,0.352572316
136,0.419991166,0.183421554,0.201263075,0.679485565,0.581907927,0.506891093,0.414378907
137,0.43662972,0.220953013,0.261540628,0.636771939,0.5557345,0.515692942,0.446265901
138,0.340448163,0.155579466,0.189742923,0.53627342,0.457088065,0.41708239,0.326551953
139,0.367827567,0.361981384,0.255742663,0.597467802,0.475696801,0.397789352,0.336403104
140,0.334021555,0.22570219,0.228776472,0.520619366,0.458416525,0.39638045,0.319383238
141,0.322458985,0.236268035,0.21868533,0.569981538,0.486195339,0.445901966,0.369764902
142,0.462294142,0.237224468,0.348529316,0.672474052,0.468542901,0.432451119,0.384796528
143,0.352484916,0.205358615,0.202874784,0.658360471,0.512196181,0.448193441,0.387824421
144,0.337474992,0.424257405,0.526146845,0.59663355,0.525939127,0.494009539,0.372996295
145,0.275512345,0.284933084,0.353747405,0.46524846,0.394056668,0.360376613,0.310773013
146,0.449721138,0.18337688,0.189911421,0.6760317,0.57325198,0.518905754,0.442037032
147,0.343958369,0.207661186,0.213644904,0.674338718,0.481016168,0.379200633,0.334593461
148,0.444839655,0.218702328,0.219591571,0.666331773,0.591588476,0.573084267,0.489143369
149,0.365015024,0.185100388,0.251621234,0.630551483,0.524371131,0.410029475,0.329304976
150,0.375742314,0.211307794,0.240505022,0.578847799,0.499445274,0.429175295,0.365513668
151,0.41893785,0.20285858,0.231777906,0.660906503,0.558789488,0.508574579,0.401960902
152,0.36570091,0.200218086,0.191250169,0.588593354,0.519967451,0.446680614,0.397059815
153,0.25909245,0.511513845,0.435243077,0.254189945,0.246273875,0.257102209,0.253218363
154,0.382854691,0.319996447,0.383443405,0.592220565,0.521644047,0.468216721,0.416585556
155,0.454062981,0.198856839,0.211031947,0.665523755,0.575767311,0.492124481,0.413697358
156,0.354141664,0.168856884,0.156618827,0.506834739,0.443372563,0.389808348,0.344949381
157,0.362829712,0.190321335,0.200092334,0.643405857,0.532867943,0.46232403,0.412862734
158,0.337190606,0.216452562,0.213692813,0.460932326,0.390099111,0.36751938,0.332073873
159,0.160602198,0.118049971,0.138651927,0.15694497,0.172021841,0.183855796,0.1660129
160,0.377649699,0.258929279,0.280008753,0.483803946,0.460557372,0.42410519,0.371568664
161,0.362898094,0.209446775,0.200382675,0.582206235,0.517505892,0.448507103,0.380530732
162,0.302673928,0.199409084,0.196041252,0.49178851,0.404069994,0.341356309,0.276546596
163,0.316537757,0.412191738,0.180685011,0.561618018,0.4742947,0.396400859,0.35128326
164,0.378209818,0.175582274,0.185160853,0.615360338,0.538842269,0.467308164,0.392126969
165,0.381510819,0.192936892,0.190750804,0.684448133,0.544219371,0.45751671,0.386306835
166,0.409121439,0.209424756,0.227751987,0.645634909,0.562181942,0.492140735,0.415543547
167,0.363867649,0.2197794,0.195347791,0.618987182,0.482914003,0.416145522,0.384354075
168,0.382699581,0.243121677,0.200673033,0.664006419,0.559737486,0.501008986,0.375418574
169,0.386193456,0.254400747,0.332193856,0.609323734,0.553760608,0.469496151,0.380293215
170,0.401825947,0.229091654,0.175751014,0.563511354,0.486490729,0.448414537,0.417227959
171,0.472499336,0.231828807,0.19130535,0.702137165,0.607102599,0.533985137,0.446387883
172,0.426481223,0.269982733,0.270353622,0.661044513,0.532123643,0.473774972,0.407823719
173,0.399170727,0.241622069,0.284180483,0.651892174,0.570952886,0.522875525,0.455634183
