fid,ndmi_1,ndmi_2,ndmi_3,ndmi_4,ndmi_5,ndmi_6,ndmi_7
141,0.032989807,-0.054640282,-0.095733463,0.170750489,0.140167723,0.11908178,0.057905466
142,0.139504435,-0.065319903,0.017272248,0.258601552,0.112544014,0.10638192,0.089883238
143,0.06380513,-0.086642115,-0.083375869,0.243691843,0.152436655,0.118529076,0.080006082
144,0.032810387,0.054824683,0.14175851,0.193846389,0.148629668,0.147218318,0.084114578
145,-0.02127124,-0.049196891,0.055532903,0.081896492,0.041597169,0.039178282,0.00928563
146,0.126051666,-0.09277799,-0.096261966,0.250229455,0.181135593,0.15316324,0.109306558
147,0.053760748,-0.073131423,-0.066352908,0.244912353,0.126826451,0.067446,0.044381406
148,0.117755747,-0.09708505,-0.126452325,0.231962656,0.18044457,0.185496488,0.131006908
149,0.051482269,-0.057448772,-0.025829778,0.205186297,0.130727238,0.074740156,0.036159883
150,0.046110563,-0.096802767,-0.007214787,0.159728559,0.102673538,0.082065351,0.048345572
151,0.101432425,-0.092569439,-0.071374944,0.239728825,0.168953432,0.151294506,0.090011394
152,0.050670729,-0.107015254,-0.090804413,0.168270311,0.11978741,0.097556179,0.068027591
153,-0.033010545,0.108806233,0.079555219,-0.056347177,-0.04965749,-0.040934781,-0.028740209
154,0.080304426,0.002453298,0.077537145,0.215148609,0.155448919,0.14249671,0.100541203
155,0.122594677,-0.098042402,-0.063039786,0.237896961,0.18192086,0.128782903,0.088417041
156,0.066868314,-0.084307038,-0.075027382,0.147081716,0.081746198,0.089132453,0.057904027
157,0.070665495,-0.088407209,-0.084595688,0.231187761,0.148506663,0.111270897,0.084056334
158,0.034159774,-0.099338513,-0.096925958,0.069987966,0.038255496,0.045046094,0.030540183
159,-0.130594568,-0.149148214,-0.141622477,-0.126649877,-0.098617901,-0.104738377,-0.095078308
160,0.073122091,-0.065274238,-0.036850252,0.105165192,0.119171524,0.080938188,0.075736103
161,0.055646769,-0.096451752,-0.081405658,0.162031513,0.12008755,0.089302443,0.054211775
162,0.042625514,-0.05312314,-0.016584649,0.135133212,0.087027354,0.045310345,0.020905149
163,0.005502442,0.082840887,-0.104135855,0.163661258,0.108119352,0.071439213,0.035871518
164,0.06321092,-0.117868647,-0.093111297,0.189551248,0.142284283,0.106393538,0.060520206
165,0.080642702,-0.091936123,-0.099530554,0.256690123,0.159168693,0.111567302,0.07205951
