fid,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7
67,0.224354597,0.123673647,0.119301062,0.366490933,0.32752636,0.282767314,0.254851423
68,0.255220297,0.110719398,0.125346031,0.423473722,0.349550746,0.28318682,0.231806582
69,0.274172972,0.141422315,0.153581327,0.428115629,0.31879373,0.277731757,0.250326928
70,0.278498769,0.140173863,0.174758538,0.416475748,0.352422107,0.305557189,0.26307568
71,0.267472636,0.156475581,0.162886748,0.404311271,0.354299578,0.312586236,0.250819901
72,0.207259665,0.158865795,0.168751821,0.361892462,0.304539119,0.259908907,0.22031779
74,0.142671232,0.216547195,0.216759997,0.137575715,0.150444733,0.16763863,0.17120065
75,0.140847594,0.189433523,0.167430294,0.191919171,0.18310801,0.186186447,0.199790047
76,0.276442723,0.153033272,0.102925808,0.462127647,0.343022153,0.316469314,0.282847469
77,0.105089691,0.133772303,0.107080376,0.105499359,0.136127683,0.154431899,0.161188866
78,0.195109847,0.128726834,0.118810864,0.315754819,0.263501307,0.234596771,0.155786493
82,0.253503779,0.188179865,0.174580127,0.37175706,0.310373634,0.273002523,0.241360721
83,0.232714653,0.17992964,0.209845459,0.336342979,0.28683481,0.268658744,0.231139887
84,0.163523739,0.161200739,0.164353274,0.258832653,0.215122754,0.197146965,0.186128902
85,0.226815466,0.145229476,0.139744055,0.33520871,0.343370996,0.29265926,0.237026814
86,0.241718367,0.160148376,0.164930918,0.388039964,0.309955267,0.30716108,0.275836983
93,0.193853147,0.152301446,0.145923185,0.305046976,0.236917458,0.226355133,0.18429183
95,0.189278873,0.160342932,0.166828109,0.267691665,0.219120292,0.21637286,0.1975022
97,0.242157417,0.165603729,0.18689156,0.329315266,0.294388126,0.249589041,0.232228394
98,0.241266584,0.254423046,0.211828783,0.335819346,0.307831898,0.273290214,0.218025193
99,0.206483647,0.22685521,0.191700161,0.300939952,0.233215396,0.22495224,0.208623731
101,0.181423038,0.382836334,0.320906587,0.213969138,0.237092521,0.206031676,0.165298384
104,0.209920967,0.146701914,0.116226292,0.142092837,0.136871929,0.138388564,0.140715557
105,0.154992223,0.089215794,0.088455074,0.249152172,0.21237973,0.194479191,0.192982537
106,0.190288022,0.150656645,0.103185111,0.312362467,0.233980181,0.197170859,0.195816209
108,0.168116695,0.320198512,0.312845767,0.217587242,0.199118355,0.18418881,0.170963433
109,0.179256079,0.210538762,0.236890815,0.217555853,0.24897149,0.199811647,0.17942104
110,0.254173135,0.179740084,0.171973356,0.411061156,0.317080421,0.217802003,0.178930571
111,0.20799545,0.414695299,0.363831282,0.165264526,0.147459941,0.148923245,0.146487579
112,0.142091504,0.317161498,0.245626586,0.153478989,0.158685542,0.153869235,0.140330821
113,0.142667831,0.114619058,0.112510708,0.167747465,0.185926804,0.178184788,0.166611219
114,0.116810229,0.23945134,0.229672564,0.145766152,0.170021552,0.199838694,0.168280598
115,0.120042294,0.128580696,0.124493593,0.186976631,0.172919081,0.167996945,0.169652069
116,0.194270619,0.296618081,0.125080544,0.299514312,0.25415151,0.231893814,0.226260928
117,0.23681514,0.185362071,0.203580101,0.396828922,0.324105158,0.275548628,0.233702218
118,0.238646217,0.169507919,0.117490505,0.347062277,0.305094259,0.277244369,0.244256639
119,0.271036534,0.15485755,0.173695698,0.441719688,0.353186114,0.279489768,0.239403846
120,0.23699601,0.136000128,0.146459762,0.435374173,0.330714069,0.245006571,0.215524087
